,full_pathname,filename,recanvo_id,function,mean_valence,mean_arousal,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
0,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210108_1729_00-13-04.48--00-13-05.29.wav,210108_1729_00-13-04.48--00-13-05.29.wav,p11,delighted,3.48148148148148,2.56481481481481,49.2656135559082,0.05954204872250557,46.34876251220703,50.92099380493164,52.03520965576172,5.6864471435546875,34.68452835083008,0.0,-3.4021379947662354,0.0,0.9621275067329407,0.8184609413146973,0.24815666675567627,0.7384404540061951,1.6490675210952759,1.4009108543395996,13.511444091796875,7.231123924255371,11.435086250305176,4.262993335723877,0.5467815399169922,1.0996770858764648,4.669824123382568,2.57721209526062,-12.340753555297852,-1.0877819061279297,2.57327938079834,3.744248151779175,-12.419258117675781,-1.2450535297393799,0.03656007722020149,0.7639395594596863,1.1569515466690063,0.6629306674003601,4.479637145996094,2.110975980758667,2.346811294555664,2.1440250873565674,12.889561653137207,0.9082155227661133,879.7034912109375,0.25903886556625366,843.9111328125,0.415842741727829,-128.00213623046875,-0.7368109226226807,1927.5740966796875,0.12466494739055634,884.1253051757812,0.24654926359653473,-114.73930358886719,-0.810609757900238,3062.94287109375,0.10506278276443481,576.289794921875,0.34910616278648376,-117.7873306274414,-0.7638577818870544,0.05128125846385956,215.1148681640625,9.33187484741211,1.2238690853118896,0.08932196348905563,0.6797322630882263,-0.0046071698889136314,-2.115748882293701,1.0007820129394531,0.6261515617370605,2.977140426635742,5.96574592590332,-21.776729583740234,-0.6421011090278625,-4.082422256469727,-2.674405336380005,-26.78794288635254,-0.5037938356399536,0.13985146582126617,5.350642204284668,0.015140104107558727,-0.005183277651667595,0.2513793706893921,3.797468423843384,1.3698630332946777,0.3199999928474426,0.0,0.1899999976158142,0.14999999105930328,-27.709667205810547
1,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210201_1803_00-11-08.97--00-11-09.61.wav,210201_1803_00-11-08.97--00-11-09.61.wav,p11,delighted,2.7129629629629597,2.72222222222222,33.52133560180664,0.08616511523723602,31.70297622680664,32.67789077758789,34.24427795410156,2.541301727294922,117.91534423828125,0.0,133.3860321044922,118.75885772705078,2.6638576984405518,0.811560869216919,0.5015558004379272,1.7218875885009766,5.537124156951904,5.0355682373046875,13.96071720123291,6.104954719543457,23.157991409301758,0.0,2.348513126373291,1.076888918876648,8.253238677978516,0.5230790376663208,-15.166232109069824,-0.8438204526901245,5.177290439605713,0.7339613437652588,-1.609501838684082,-5.1992597579956055,0.08964461088180542,0.5547103881835938,2.679713249206543,0.2797684371471405,-6.263502597808838,-0.3965073823928833,-1.413515567779541,-3.1232264041900635,-7.015069484710693,-0.6588703989982605,459.32110595703125,0.1197400614619255,1023.2009887695312,0.24241018295288086,-159.09161376953125,-0.4674113392829895,1454.3238525390625,0.03775713965296745,1120.940185546875,0.1530439257621765,-151.80252075195312,-0.5236040353775024,2259.211181640625,0.041633252054452896,1160.47412109375,0.19651305675506592,-151.84732055664062,-0.522799551486969,4.895144939422607,0.8361854553222656,3.2606189250946045,1.421025037765503,0.041622575372457504,0.8435088396072388,0.0015083729522302747,3.9215731620788574,5.200618743896484,0.4811890423297882,7.938471794128418,0.690505862236023,-21.296897888183594,-0.44609200954437256,5.455613613128662,0.6943219304084778,3.4301490783691406,1.456362009048462,0.347655713558197,6.904951095581055,0.004186039324849844,-0.0013182646362110972,1.6451634168624878,1.5873016119003296,3.4482760429382324,0.05999999865889549,0.029999999329447746,0.1366666704416275,0.09030810743570328,-17.700698852539062
2,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210128_1916_00-01-15.35--00-01-16.45.wav,210128_1916_00-01-15.35--00-01-16.45.wav,p11,delighted,2.7962962962963,3.43518518518519,47.10611343383789,0.09380876272916794,43.754058837890625,48.10424041748047,49.87894821166992,6.124889373779297,235.9117889404297,111.52550506591797,116.41425323486328,61.3807487487793,2.246720552444458,0.40623512864112854,1.3116929531097412,2.1878201961517334,3.1978378295898438,1.8861448764801025,12.171409606933594,6.892029285430908,6.938575744628906,1.3200992345809937,2.2231640815734863,0.88652503490448,22.40264892578125,0.29198652505874634,-15.039722442626953,-0.5276333093643188,-11.526081085205078,-0.915888249874115,-23.473739624023438,-0.4392572045326233,0.04871180281043053,1.2049100399017334,1.2346174716949463,0.7755502462387085,9.925541877746582,0.6866570711135864,8.819388389587402,0.955469012260437,15.702033042907715,0.5582706332206726,854.5219116210938,0.2872623801231384,1387.419677734375,0.17802517116069794,-90.68375396728516,-0.9590319991111755,1810.8299560546875,0.13148808479309082,1055.174560546875,0.28924861550331116,-82.51787567138672,-0.9873667359352112,2804.819091796875,0.07581019401550293,800.8775024414062,0.5335532426834106,-86.0411376953125,-0.9091406464576721,-18.320823669433594,-0.3586888611316681,29.40764045715332,0.2698453962802887,0.12700709700584412,0.20568817853927612,-0.031972482800483704,-0.34673890471458435,3.010684013366699,0.6785421371459961,25.36409568786621,0.16944526135921478,-17.17912483215332,-0.5086222887039185,-16.02591896057129,-0.6237798929214478,-27.90726089477539,-0.36503201723098755,-5.864047527313232,12.397231101989746,0.05971145257353783,-0.018404997885227203,0.9725122451782227,2.752293586730957,1.9230769872665405,0.3400000035762787,0.3100000023841858,0.1599999964237213,0.04999999701976776,-12.739330291748047
3,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210130_2120_00-05-49.37--00-05-50.14.wav,210130_2120_00-05-49.37--00-05-50.14.wav,p11,delighted,3.44444444444444,2.93518518518519,48.71355056762695,0.10702326893806458,42.14067840576172,50.99630355834961,52.68387985229492,10.543201446533203,19.636409759521484,36.32424545288086,75.5193862915039,13.991386413574219,1.9154835939407349,0.5884338617324829,0.9248808026313782,1.3862262964248657,3.256204128265381,2.3313233852386475,4.871191024780273,4.4235639572143555,10.269037246704102,0.0,1.26029634475708,1.0366700887680054,10.63909912109375,0.7710863947868347,-20.381492614746094,-0.37081974744796753,-12.81176471710205,-0.5225446820259094,-20.624895095825195,-0.5245195627212524,0.0479363314807415,0.7383900284767151,1.3927452564239502,0.5316835641860962,4.175588607788086,1.8051934242248535,1.856547236442566,4.304862976074219,10.927783966064453,0.6762148141860962,917.0045166015625,0.26920220255851746,1029.5406494140625,0.20118340849876404,-58.6005744934082,-1.369938611984253,1936.4560546875,0.14417845010757446,876.10888671875,0.332012802362442,-50.941585540771484,-1.3050611019134521,2998.0439453125,0.10072331130504608,746.8511352539062,0.18878492712974548,-53.33335876464844,-1.2266685962677002,-5.013821125030518,-1.35576331615448,16.54381561279297,0.3889179825782776,0.04935484379529953,0.36573556065559387,-0.01525773573666811,-1.1121412515640259,1.402611494064331,1.0506478548049927,10.32624340057373,0.6757632493972778,-18.79895782470703,-0.4131808280944824,-13.367349624633789,-0.5101064443588257,-22.971797943115234,-0.48942142724990845,5.489211082458496,7.258304119110107,0.06885826587677002,0.007674599066376686,1.1261889934539795,1.3333333730697632,4.411764621734619,0.1733333319425583,0.05792715400457382,0.054999999701976776,0.03500000014901161,-16.96389389038086
4,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210128_1916_00-00-34.86--00-00-36.09.wav,210128_1916_00-00-34.86--00-00-36.09.wav,p11,delighted,3.12037037037037,2.9074074074074097,43.985225677490234,0.10268822312355042,41.536048889160156,45.30742263793945,46.474822998046875,4.938774108886719,82.18494415283203,33.17634582519531,-124.11116790771484,104.08326721191406,1.8451908826828003,0.5666100978851318,0.671422004699707,2.204289197921753,2.922252655029297,2.25083065032959,2.2177138328552246,2.131312370300293,4.750559329986572,0.0,0.8584743738174438,0.8481500148773193,22.990854263305664,0.20655247569084167,-14.237277030944824,-0.35213497281074524,-18.848949432373047,-0.9366816282272339,-8.471729278564453,-0.6838558316230774,0.023774772882461548,1.8557567596435547,0.9427809119224548,0.8756327033042908,11.470939636230469,0.5934715867042542,14.894365310668945,0.5303865075111389,25.19053840637207,0.40510663390159607,787.4558715820312,0.26761192083358765,1255.9423828125,0.16438478231430054,-53.321075439453125,-1.474544644355774,1802.483154296875,0.13985534012317657,987.51416015625,0.2421165555715561,-53.37139892578125,-1.2815091609954834,2758.21435546875,0.09914284944534302,957.1527099609375,0.32834097743034363,-61.41234588623047,-1.0471508502960205,-12.023730278015137,-0.6715520024299622,22.944049835205078,0.27311399579048157,0.11265632510185242,0.5212596654891968,-0.01437758095562458,-0.6263025999069214,1.0583277940750122,0.6791375875473022,24.00319480895996,0.20299184322357178,-14.339412689208984,-0.37766915559768677,-23.05849266052246,-0.7791696190834045,-9.743410110473633,-0.5550951361656189,-1.193082571029663,14.80698299407959,0.03699522092938423,-0.004700914490967989,0.20155039429664612,0.8264463543891907,1.7391304969787598,0.45499998331069946,0.42499998211860657,0.08999999612569809,0.04999999701976776,-15.422409057617188
5,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/201115_1933_00-03-19.79--00-03-20.77.wav,201115_1933_00-03-19.79--00-03-20.77.wav,p11,delighted,2.99074074074074,1.99074074074074,30.451692581176758,0.2688678205013275,20.147192001342773,32.99870300292969,38.38802719116211,18.240835189819336,124.29076385498047,30.722515106201172,251.40313720703125,152.54373168945312,0.7957051396369934,0.47756749391555786,0.4771055281162262,0.6516048908233643,1.2202585935592651,0.7431530952453613,4.934987545013428,2.716892719268799,3.33514142036438,2.270536184310913,0.37879547476768494,0.723232090473175,22.361446380615234,0.36593106389045715,2.3048577308654785,3.7446422576904297,10.304715156555176,0.9680454730987549,-7.59367036819458,-1.0118647813796997,0.1314656287431717,1.0581632852554321,1.479214072227478,0.7408815026283264,5.528905391693115,1.0982626676559448,6.994147300720215,1.7138514518737793,22.06659698486328,0.41981348395347595,649.3912963867188,0.35099199414253235,1372.2926025390625,0.2774806320667267,-61.58634948730469,-1.2648226022720337,1712.7362060546875,0.17401443421840668,985.4063110351562,0.23795554041862488,-64.71778869628906,-1.1000276803970337,2700.374755859375,0.12136909365653992,740.10400390625,0.33398473262786865,-66.59072875976562,-1.050557255744934,-16.776302337646484,-0.4344300329685211,25.977998733520508,0.30651983618736267,0.042092762887477875,0.4285984933376312,-0.020986171439290047,-0.5260917544364929,0.46793943643569946,0.5787001848220825,25.93944549560547,0.2528453767299652,6.312011241912842,0.9403823018074036,14.222583770751953,0.5905198454856873,-8.572460174560547,-0.9959612488746643,-2.9738314151763916,10.392058372497559,0.02576856128871441,-0.007089093793183565,0.14876820147037506,3.125,2.1978023052215576,0.3400000035762787,0.0,0.08500000089406967,0.054999999701976776,-24.41245460510254
6,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/201115_1933_00-03-10.31--00-03-10.87.wav,201115_1933_00-03-10.31--00-03-10.87.wav,p11,delighted,3.01851851851852,1.94444444444444,36.88499069213867,0.1592852920293808,30.03911590576172,40.5955810546875,42.67189407348633,12.63277816772461,79.97486877441406,80.4864730834961,67.59245300292969,1.9300193786621094,0.7832282781600952,0.6952854990959167,0.38831302523612976,0.4731777608394623,1.4123597145080566,1.0240466594696045,4.197508811950684,1.859167218208313,5.287084579467773,0.0,0.6671023368835449,1.424834132194519,23.19633674621582,0.3670891225337982,-1.2325094938278198,-6.200140953063965,2.134286403656006,3.256638288497925,-8.678156852722168,-0.8485690355300903,0.0448983870446682,1.3626478910446167,1.1171990633010864,0.7329614758491516,7.822338581085205,0.9596410393714905,11.727726936340332,0.8410992622375488,21.906957626342773,0.3556790351867676,747.4998168945312,0.27717503905296326,1311.683349609375,0.11805743724107742,-52.53749465942383,-1.3076822757720947,1789.92431640625,0.12920165061950684,1037.2991943359375,0.20904377102851868,-54.666500091552734,-1.1178053617477417,2822.201904296875,0.08702550828456879,857.92626953125,0.30404722690582275,-59.73281478881836,-0.988184928894043,-18.837623596191406,-0.6489191055297852,29.73220443725586,0.45613354444503784,0.0790218785405159,0.319496750831604,-0.016507649794220924,-0.5940130949020386,0.8814717531204224,1.181614875793457,26.29277992248535,0.28976118564605713,1.4999796152114868,4.630741596221924,3.390894889831543,2.028583288192749,-10.95063304901123,-0.6706396341323853,-2.97163724899292,9.409316062927246,0.04632554203271866,-0.001999713946133852,0.08495794981718063,1.8518519401550293,4.255319118499756,0.1850000023841858,0.125,0.029999999329447746,0.009999999776482582,-16.7933406829834
7,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210108_1729_00-03-38.60--00-03-39.42.wav,210108_1729_00-03-38.60--00-03-39.42.wav,p11,delighted,2.73148148148148,1.6759259259259298,36.7874755859375,0.0053549655713140965,36.58970642089844,36.816490173339844,36.98701095581055,0.3973045349121094,3.16835618019104,0.7144976854324341,0.8672447204589844,2.2625551223754883,0.8028014302253723,0.4139693081378937,0.45444798469543457,0.8629921674728394,1.0578712224960327,0.6034232378005981,7.161559581756592,8.677692413330078,5.823587417602539,4.6244659423828125,0.26045846939086914,0.5544908046722412,18.711902618408203,0.6196237206459045,-3.5597145557403564,-1.7461774349212646,6.370050430297852,1.1823582649230957,-3.64523983001709,-1.9834219217300415,0.02744155377149582,0.6988611221313477,0.9534546732902527,0.4277498126029968,7.854073524475098,0.27663150429725647,11.906618118286133,0.31230056285858154,19.645509719848633,0.2697674632072449,975.84423828125,0.1208563968539238,1023.4478149414062,0.18093198537826538,-62.07295608520508,-1.1780763864517212,2017.35546875,0.10214691609144211,725.7147827148438,0.31404784321784973,-65.69232940673828,-1.0747251510620117,3077.465576171875,0.0758141279220581,654.3953857421875,0.1793496161699295,-70.11042785644531,-0.9745737910270691,-11.248002052307129,-0.3591494560241699,20.219703674316406,0.3000759482383728,0.06665228307247162,0.26076996326446533,-0.006814280059188604,-0.9844195246696472,0.27802181243896484,0.2754565179347992,23.244657516479492,0.2829158902168274,-4.741060733795166,-1.193455457687378,9.243614196777344,0.6589905619621277,-5.003414154052734,-1.555773138999939,-0.7614691257476807,6.429867267608643,0.021414808928966522,-0.00601818086579442,0.2870633900165558,2.500000238418579,1.3333333730697632,0.5699999928474426,0.0,0.07499999552965164,0.004999999888241291,-31.580554962158203
8,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/201121_2229_00-00-16.43--00-00-18.13.wav,201121_2229_00-00-16.43--00-00-18.13.wav,p11,delighted,2.83333333333333,3.47222222222222,46.586124420166016,0.14534740149974823,46.55018615722656,47.134735107421875,50.92271041870117,4.372524261474609,125.58871459960938,22.908842086791992,16.775976181030273,0.0,2.743290662765503,0.43551841378211975,1.050541639328003,3.2153818607330322,3.6831421852111816,2.6326005458831787,7.69431734085083,6.935136318206787,5.739287376403809,1.3403172492980957,1.003768801689148,0.7599150538444519,15.669318199157715,0.3542860746383667,-34.08304214477539,-0.49482908844947815,-19.624351501464844,-0.5307183265686035,-20.645957946777344,-0.3860585689544678,0.017379028722643852,2.0406105518341064,0.5716243386268616,1.142390489578247,13.686996459960938,0.5212307572364807,3.8656837940216064,1.9557305574417114,13.626901626586914,0.3980320394039154,888.3530883789062,0.28524792194366455,1169.11279296875,0.15831246972084045,-18.04854965209961,-3.0160350799560547,1908.1925048828125,0.16471582651138306,988.1826782226562,0.2674410343170166,-22.7366943359375,-2.0328898429870605,2852.7197265625,0.1271771341562271,833.4913940429688,0.4272860288619995,-27.8338680267334,-1.6089842319488525,-3.605862855911255,-1.399876594543457,15.96518611907959,0.3280896842479706,0.10954028367996216,0.37506261467933655,-0.007429762743413448,-3.1497082710266113,1.128806471824646,0.6569130420684814,14.80448055267334,0.3598993420600891,-38.00829315185547,-0.37184154987335205,-21.638965606689453,-0.43561413884162903,-22.19225311279297,-0.32780277729034424,-6.1199212074279785,15.573046684265137,0.0565815195441246,-0.010289031080901623,0.18421077728271484,1.1904761791229248,1.2658228874206543,0.7249999642372131,0.675000011920929,0.07999999821186066,0.0,-15.41821575164795
9,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210130_2120_00-02-20.03--00-02-20.63.wav,210130_2120_00-02-20.03--00-02-20.63.wav,p11,delighted,3.19444444444444,2.62037037037037,45.83727264404297,0.08516333997249603,44.97385787963867,47.15925979614258,48.96396255493164,3.9901046752929688,67.18475341796875,20.8648624420166,12.174723625183105,9.189444541931152,1.7481257915496826,0.6541297435760498,0.5591997504234314,1.2447248697280884,3.1749353408813477,2.6157355308532715,7.509355545043945,4.828636169433594,10.003412246704102,0.0,1.1061145067214966,1.0759540796279907,13.18653678894043,0.5130797624588013,-24.37171745300293,-0.3967394232749939,-15.686196327209473,-0.34439849853515625,-11.905614852905273,-0.8107456564903259,0.030531076714396477,1.0125224590301514,0.9858397245407104,0.6714358925819397,7.50877571105957,1.0816066265106201,4.795414447784424,1.0669317245483398,15.611472129821777,0.31654104590415955,846.270751953125,0.3041708469390869,1213.1297607421875,0.1832071989774704,-66.65164184570312,-1.3066853284835815,1812.2376708984375,0.16512331366539001,1091.3304443359375,0.163466677069664,-62.196006774902344,-1.2448326349258423,2759.44921875,0.0830095112323761,985.5390014648438,0.2922327220439911,-67.59963989257812,-1.1009258031845093,-7.341483116149902,-0.9259528517723083,18.17554473876953,0.48061904311180115,0.11323232203722,0.4581037163734436,-0.000794299878180027,-12.864065170288086,1.5166122913360596,0.8620027303695679,14.790096282958984,0.4078226387500763,-23.362966537475586,-0.43997979164123535,-17.47399139404297,-0.25724339485168457,-15.679733276367188,-0.5977028012275696,0.25925034284591675,10.448690414428711,0.06276075541973114,0.004119462799280882,0.3292427957057953,1.6949152946472168,3.773585081100464,0.1850000023841858,0.125,0.05999999865889549,0.009999999776482582,-17.201997756958008
