,full_pathname,filename,recanvo_id,function,mean_valence,mean_arousal,duration,mean_pitch,pitch_range,min_pitch,max_pitch,stdev_pitch,mean_intensity,intensity_range,min_intensity,max_intensity,formant1_mean,formant2_mean,formant3_mean,formant1_stdev,formant2_stdev,formant3_stdev,local_jitter,local_abs_jitter,rap_jitter,ppq5_jitter,ddp_jitter,local_shimmer,local_db_shimer,apq3_shimmer,apq5_shimmer,apq11_shimmer,dda_shimmer,hnr
0,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210108_1729_00-13-04.48--00-13-05.29.wav,210108_1729_00-13-04.48--00-13-05.29.wav,p11,delighted,3.481481481,2.564814815,0.806984127,448.6201547,203.8597101,358.9066013,562.7663114,72.83093269,66.71676801,38.65266874,36.4956648,75.14833354,975.394797,1924.096529,2943.574551,313.1380554,368.1226624,483.4018315,0.009578148,2.14E-05,0.004279807,0.004657776,0.012839421,0.075314332,0.66785839,0.033469515,0.038438178,0.050200197,0.100408546,8.743556092
1,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210201_1803_00-11-08.97--00-11-09.61.wav,210201_1803_00-11-08.97--00-11-09.61.wav,p11,delighted,2.712962963,2.722222222,0.647006803,,,,,,76.85299348,34.86331431,48.13189662,82.99521093,1040.462768,1934.450953,2739.487043,187.2257582,156.8185245,251.5930301,,,,,,,,,,,,-1.816445749
2,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210128_1916_00-01-15.35--00-01-16.45.wav,210128_1916_00-01-15.35--00-01-16.45.wav,p11,delighted,2.796296296,3.435185185,1.104013605,364.9573142,341.4753684,214.7620927,556.237461,106.3582791,81.556397,27.39105645,57.24636425,84.6374207,645.1630562,1678.543775,2646.20211,186.6895622,236.2813934,319.5056693,0.020237627,5.55E-05,0.010701029,0.010437349,0.032103086,0.092707421,0.82403914,0.046653287,0.055241792,0.053388863,0.139959861,14.64739961
3,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210130_2120_00-05-49.37--00-05-50.14.wav,210130_2120_00-05-49.37--00-05-50.14.wav,p11,delighted,3.444444444,2.935185185,0.768004535,346.4380852,522.8437415,103.6857295,626.529471,175.0223471,77.46678779,29.81938946,54.75328826,84.57267771,868.5197104,1633.909503,2612.664446,218.2929959,256.0424509,288.410082,0.016912245,4.84E-05,0.009734862,0.009083817,0.029204586,0.080432543,1.051368888,0.040151795,0.048225936,0.06797347,0.120455384,10.38896502
4,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210128_1916_00-00-34.86--00-00-36.09.wav,210128_1916_00-00-34.86--00-00-36.09.wav,p11,delighted,3.12037037,2.907407407,1.228004535,353.6769691,160.5777116,251.4964459,412.0741575,44.73852718,78.82460305,30.68580155,51.61306401,82.29886556,748.2284946,1573.339081,2604.854324,247.5048421,414.3807183,431.0512732,0.018957058,5.37E-05,0.010346306,0.008989583,0.031038918,0.048057751,0.547924057,0.026089732,0.03232441,0.037241746,0.078269195,19.50205362
5,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/201115_1933_00-03-19.79--00-03-20.77.wav,201115_1933_00-03-19.79--00-03-20.77.wav,p11,delighted,2.990740741,1.990740741,0.979002268,178.9958393,191.1828493,71.0311423,262.2139916,76.03133515,69.90529271,30.20011711,47.75873734,77.95885445,636.4812973,1902.78207,2910.178146,263.2916894,289.1947936,347.7874468,0.022779045,0.000126428,0.012459513,0.010429596,0.037378539,0.112129308,1.137304293,0.065341453,0.064109072,0.083965617,0.19602436,13.13433702
6,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/201115_1933_00-03-10.31--00-03-10.87.wav,201115_1933_00-03-10.31--00-03-10.87.wav,p11,delighted,3.018518519,1.944444444,0.554988662,298.6279836,191.690939,140.2159932,331.9069321,46.84708296,77.85832788,40.10494531,44.21410129,84.3190466,612.496505,1732.334714,2886.502251,296.199091,222.9467541,288.9496879,0.018373918,6.18E-05,0.009209548,0.010278431,0.027628645,0.058017399,0.765384528,0.02272126,0.027869989,0.0492979,0.06816378,23.74640327
7,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210108_1729_00-03-38.60--00-03-39.42.wav,210108_1729_00-03-38.60--00-03-39.42.wav,p11,delighted,2.731481481,1.675925926,0.81170068,230.4463373,17.62981251,222.617363,240.2471755,3.538772229,62.71017314,23.7146642,41.62381582,65.33848002,1010.824267,2223.731019,3158.097844,169.4927514,250.6770348,289.9297803,0.025460952,0.000110698,0.015095215,0.014904762,0.045285646,0.11606407,1.002829176,0.059733021,0.079008263,0.105312729,0.179199062,7.911785372
8,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/201121_2229_00-00-16.43--00-00-18.13.wav,201121_2229_00-00-16.43--00-00-18.13.wav,p11,delighted,2.833333333,3.472222222,1.697006803,460.7577813,227.9099487,322.4138655,550.3238142,59.47819586,78.77264929,33.51503344,49.37908546,82.89411889,871.635597,1505.512299,2627.49058,207.1699433,275.5225821,312.5694214,0.00766385,1.66E-05,0.004259281,0.003990225,0.012777844,0.045303248,0.431759542,0.026498405,0.026800144,0.03226406,0.079495215,20.10502648
9,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 delighted survey/210130_2120_00-02-20.03--00-02-20.63.wav,210130_2120_00-02-20.03--00-02-20.63.wav,p11,delighted,3.194444444,2.62037037,0.6,435.6285421,113.2168531,364.8531317,478.0699848,37.79728857,77.38165028,38.42876455,44.64184213,83.07060668,860.0428072,1744.670653,2691.638407,242.29358,236.0877787,223.7697498,0.013221597,3.03E-05,0.006517174,0.005454861,0.019551521,0.057281685,0.608059004,0.026688939,0.038113374,0.053421534,0.080066816,16.17819754
